t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
5.090000,11.675019,-0.817394,-0.650000,-0.660000,-0.224981,-0.917394,2.362163,-30.098841
5.190000,11.906664,-0.256667,-0.650000,-0.660000,0.006664,-0.356667,5.924742,-78.150850
5.290000,11.440094,1.100000,-0.650000,-0.660000,-0.459906,1.817518,22.291487,-166.535830
t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
0.090000,13.900000,0.555573,-2.150000,0.840000,2.405048,0.455573,-10.555601,2.262031
0.190000,12.803542,-0.900000,-0.650000,0.840000,0.903542,-1.232946,4.007357,14.975915
0.290000,10.830976,0.103273,-2.150000,0.840000,-1.069024,0.003273,-0.908761,14.793211
0.390000,12.094785,1.100000,-1.699885,0.840000,0.194785,2.380422,-0.299885,12.759856
0.490000,12.263425,0.555239,-1.711105,0.840000,0.363425,0.455239,-0.311105,14.528473
0.590000,11.677688,0.649162,-2.150000,0.840000,-0.222312,0.549162,-1.450915,11.645643
0.690000,12.064683,1.100000,-1.399373,0.840000,0.164683,1.484755,0.000627,12.665350
0.790000,11.806035,1.100000,-2.001597,0.840000,-0.093965,1.056456,-0.601597,19.196959
0.890000,11.921029,1.100000,-1.978854,0.840000,0.021029,1.227422,-0.578854,14.252199
0.990000,11.874158,0.697601,-1.610471,0.840000,-0.025842,0.597601,-0.210471,7.430563
1.090000,11.598384,-0.400388,-1.069989,-0.660000,-0.301616,-0.500388,0.330011,-3.495391
1.190000,11.388580,-0.900000,-0.650000,-0.660000,-0.511420,-1.235253,1.394657,-16.292956
1.290000,11.180863,-0.900000,-0.650000,-0.660000,-0.719137,-1.434696,2.270459,-22.283828
1.390000,11.185145,-0.778447,-0.650000,-0.660000,-0.714855,-0.878447,2.328155,-14.530990
1.490000,11.463821,-0.096692,-0.650000,-0.660000,-0.436179,-0.196692,1.481351,-7.082805
1.590000,11.832025,0.694380,-1.170778,0.840000,-0.067975,0.594380,0.229222,1.448017
1.690000,12.216535,1.100000,-2.150000,0.840000,0.316535,1.235042,-1.176652,9.608467
1.790000,12.527735,0.889045,-2.150000,0.840000,0.627735,0.789045,-2.217600,3.080786
1.890000,12.589861,1.100000,-2.150000,0.840000,0.689861,1.247069,-2.568258,11.603479
1.990000,12.569597,1.100000,-2.150000,0.840000,0.669597,1.569256,-2.650758,18.224952
2.090000,12.423971,1.100000,-2.150000,0.840000,0.523971,1.171756,-2.079481,17.514768
2.190000,12.201823,0.601318,-2.150000,0.840000,0.301823,0.501318,-1.314741,9.998825
2.290000,11.885769,-0.283191,-1.815818,-0.660000,-0.014231,-0.383191,-0.415818,-1.190181
2.390000,11.552016,-0.900000,-0.767231,-0.660000,-0.347984,-1.224380,0.632769,-13.785914
2.490000,11.285542,-0.900000,-0.650000,-0.660000,-0.614458,-1.411612,1.681593,-18.695874
2.590000,11.183539,-0.818246,-0.650000,-0.660000,-0.716461,-0.918246,2.186842,-14.911910
2.690000,11.318198,-0.078073,-0.650000,-0.660000,-0.581802,-0.178073,1.852133,-8.305400
2.790000,11.674262,0.686412,-0.717815,-0.660000,-0.225738,0.586412,0.682185,-1.203242
2.890000,12.032880,-0.240663,-1.711289,-0.660000,0.132880,-0.340663,-0.311289,-14.880629
2.990000,12.171757,-0.074191,-2.150000,-0.660000,0.271757,-0.174191,-0.876329,-7.727629
3.090000,12.361181,0.710943,-2.150000,0.554709,0.461181,0.610943,-1.645678,0.464709
3.190000,12.530067,1.100000,-2.150000,0.840000,0.630067,1.256349,-2.359894,13.048881
3.290000,12.555376,1.100000,-2.150000,0.840000,0.655376,1.202106,-2.517898,13.329676
3.390000,12.376868,1.100000,-2.150000,0.840000,0.476868,1.378731,-2.044981,20.691838
3.490000,12.327443,1.100000,-2.150000,0.840000,0.427443,1.611349,-1.918243,14.719883
3.590000,12.237791,1.100000,-2.150000,0.840000,0.337791,1.158974,-1.585034,14.107138
3.690000,12.025726,0.588290,-2.150000,0.840000,0.125726,0.488290,-0.896398,4.683082
3.790000,11.789784,0.642526,-1.653058,0.840000,-0.110216,0.542526,-0.253058,11.581033
3.890000,11.703885,1.100000,-1.438813,0.840000,-0.196115,1.381892,-0.038813,19.288737
3.990000,11.729717,1.100000,-1.500281,0.840000,-0.170283,1.613540,-0.100281,17.885624
4.090000,11.710145,1.100000,-1.242710,0.840000,-0.189855,1.098126,0.157290,16.400790
4.190000,11.581388,0.542458,-0.864051,0.840000,-0.318612,0.442458,0.535949,8.006815
4.290000,11.395040,-0.338781,-0.650000,-0.660000,-0.504960,-0.438781,1.148086,-4.241293
4.390000,11.202834,-0.900000,-0.650000,-0.660000,-0.697166,-1.287806,1.914376,-18.380529
4.490000,11.102754,-0.900000,-0.650000,-0.660000,-0.797246,-1.463749,2.216425,-15.148381
4.590000,11.107288,-0.900000,-0.650000,-0.660000,-0.792712,-1.444999,2.416857,-19.865157
4.690000,11.284256,-0.840401,-0.650000,-0.660000,-0.615744,-0.940401,1.945277,-16.058108
4.790000,11.564039,-0.088835,-0.650000,-0.660000,-0.335961,-0.188835,1.066350,-9.200507
4.890000,11.933548,0.696055,-1.658999,0.840000,0.033548,0.596055,-0.258999,1.399473
4.990000,12.301145,1.100000,-2.150000,0.840000,0.401145,1.227779,-1.531609,9.498250
5.090000,12.620168,-0.626091,-2.150000,-0.660000,0.720168,-0.726091,-3.108831,-4.437894
5.190000,11.470957,-0.480753,-0.650000,-0.660000,-0.429043,-0.580753,1.700317,-35.926347
5.290000,11.595326,-0.104578,-0.650000,-0.660000,-0.304674,-0.204578,5.821223,-69.396171
5.390000,11.887565,0.949965,-0.650000,-0.660000,-0.012435,0.849965,18.428071,-166.204688
